datetime,epoch,decision,confidence,bet_amount_bnb,ml_score,bull_amount,bear_amount,total_amount,bull_payout,bear_payout,bull_percent,bear_percent,bet_ratio,whale_bet_side,max_bet_on_bull,max_bet_on_bear,bull_whales,bear_whales,current_streak,current_streak_type,skip_rounds_remaining,last_loss_epoch,live_bnb_price,lock_price_previous,price_difference,btc_price,btc_5min_change,btc_influence,real_price_volatility,price_momentum,current_hour,current_day_of_week,hourly_bull_rate,total_bet_log,streak_valid,last_round_price_change,big_move_detected,wallet_number,claimed,result,reward_amount
2025-09-14T18:41:37.655430,412839,bull,MEDIUM (Against bet ratio 0.48 + ML consensus),0.0011502024001899,0.0637653927832637,0.7430237287421982,1.5483914277448736,2.291415156487072,3.083905759464794,1.4798681492472234,32.42641241324923,67.57358758675076,0.4798681492472233,,0.2141360889996807,1.0333267527929435,0,1,2,BULL,0,,927.14932384,927.48390565,-0.3345818100000315,115477.49,-0.0125809558097597,0.0,0.0004543385828485,-0.0095436459379327,18,6,0.5421686746987951,1.1913176110439978,True,0.7855295199999546,False,4,yes,win,0.0011240094650341
2025-09-14T18:51:47.590078,412841,bull,MEDIUM (Against bet ratio 0.21 + ML consensus),0.0011502024001899,0.0649779000800416,0.2751445448673739,1.3338113656730952,1.6089559105404692,5.847675124055335,1.2062844506715722,17.100813208420938,82.89918679157906,0.2062844506715721,,0.0807164734264275,1.0,0,1,1,BULL,0,,926.83064777,927.34837,-0.517722230000004,115456.46,-0.0182113414484492,0.0,0.0003966630337168,-0.0013440669530963,18,6,0.5421686746987951,0.9589501070238636,True,0.1438993100000516,False,6,yes,win,0.0010147933760585
2025-09-15T04:23:10.830852,412953,bull,MEDIUM (Very strong ML signal: 0.239),0.001183573952141,0.2391655039514065,1.084667898258976,0.4031874038904947,1.487855302149471,1.3717150701497294,3.690232601000529,72.90143716878792,27.098562831212075,2.6902326010005284,,0.3140989310024121,0.2,0,0,1,BULL,0,,934.77089,932.84155008,1.9293399199999608,116139.99,0.5023647566369719,0.2,0.0004364234669455,0.0154501281247999,4,0,0.4512195121951219,0.9114210148856215,True,0.0620157200000903,False,4,yes,win,0.0005115456393654
2025-09-15T06:20:30.665947,412976,bull,MEDIUM (Against bet ratio 0.43 + ML consensus),0.0011502024001899,0.0720412098743587,0.5786285485388196,1.3439380794441005,1.92256662798292,3.3226266364455688,1.4305470299481065,30.09667077940979,69.90332922059021,0.4305470299481064,,0.0853510621703379,1.0,0,1,1,BEAR,0,,932.70390205,933.12593441,-0.4220323600000029,116475.03,-0.1627396211490883,0.0,0.0004815894645325,-0.0057706870504515,6,0,0.5957446808510638,1.0724622123875012,True,-0.6262391999999863,False,3,yes,loss,-0.0011502024001899
2025-09-15T14:30:05.696917,413072,bull,MEDIUM (Against bet ratio 0.53 + ML consensus),0.0011153475961842,0.0640321532443856,0.7881557476706658,1.4738357014011654,2.261991449071832,2.8699802745294627,1.5347649991931744,34.843445053431644,65.15655494656835,0.5347649991931743,,0.1579584490844245,1.0,0,1,4,BULL,0,,919.66029,919.00814833,0.6521416699999918,115007.93,0.0787086525043858,0.0,0.0011611634926425,0.0026489813192309,14,0,0.5487804878048781,1.1823378828194917,True,0.8907115000000658,False,3,yes,loss,-0.0011153475961842
2025-09-15T14:35:13.769169,413073,bear,HIGH (Against whale - ML too weak),0.0019977048155366,-0.0414034616399236,2.4724369472366807,1.0951852856762665,3.5676222329129472,1.4429578222006028,3.257551283397653,69.3020949479269,30.697905052073093,2.257551283397653,bull,2.1744484513769087,0.2,1,0,1,BEAR,0,,916.63077659,918.73445692,-2.1036803299999747,114778.83,-0.1978846222571435,0.0,0.0009015901545021,0.012801169175743,14,0,0.5487804878048781,1.51899277035977,True,-0.2736914100000831,False,4,yes,loss,-0.0019977048155366
2025-09-15T15:51:45.206107,413088,bear,MEDIUM (Against bet ratio 9.06 + ML consensus),0.0011502024001899,-0.0765565391700024,1.4351544219428602,0.1584213472196641,1.5935757691625243,1.110386272583266,10.059097445705351,90.05875024675359,9.941249753246415,9.059097445705351,,1.0,0.0435422155043713,1,0,1,BEAR,0,,914.21208024,914.03218914,0.1798910999999634,114691.31,0.0796858708277308,0.0,0.0011644463318843,-0.0252041998229942,15,0,0.4024390243902439,0.9530375294057116,True,-2.191092609999941,True,1,yes,loss,-0.0011502024001899
2025-09-15T17:54:06.732390,413112,bear,MEDIUM (Against bet ratio 3.01 + ML consensus),0.0011152878391842,-0.055066396470446,1.8134185155743203,0.6033274829143851,2.4167459984887056,1.3327017330708724,4.005695193619504,75.03554435213003,24.964455647869965,3.005695193619504,,1.0,0.2,1,0,1,BEAR,0,,918.77189652,918.09378,0.6781165200000032,114909.66,0.0349178698793549,0.0,0.0006912786827378,0.0041711648092445,17,0,0.4878048780487805,1.228688635716614,True,-0.9110150199999224,False,1,yes,loss,-0.0011152878391842
2025-09-15T18:34:52.761842,413120,bull,MEDIUM (Against bet ratio 0.30 + ML consensus),0.0010815897362987,0.0613574110266913,0.4988851417715114,1.6607704024311465,2.159655544202657,4.328963449450207,1.3003938058151867,23.10021813944868,76.89978186055133,0.3003938058151868,,0.1037712716496927,1.0,0,1,1,BEAR,0,,919.08398737,918.68118442,0.402802950000023,114946.35,0.0034887057284629,0.0,0.0006331921160974,-0.0052238545667343,18,0,0.5421686746987951,1.150463016658185,True,-0.6826327400000309,False,3,yes,win,0.0014221059283582
2025-09-15T19:10:35.614221,413127,bull,MEDIUM (Against bet ratio 0.37 + ML consensus),0.0011383345558558,0.0555425103036005,0.9918648429314748,2.7046693466336045,3.69653418956508,3.7268527218284135,1.3667231427627229,26.83229187305783,73.16770812694216,0.3667231427627225,,0.2,1.57,0,1,4,BULL,0,,921.73456236,921.3228055,0.4117568600000822,115303.35,-0.1624456147909763,0.0,0.0007119741185951,0.0208868715820451,19,0,0.4938271604938271,1.5468248302226095,True,0.6369955000000118,False,4,yes,loss,-0.0011383345558558
